metric,value,std_error,count
HR@10,0.30000966413100305,0.002159504928536943,3
nDCG@5,0.33681331107889045,0.002824256109988284,3
precision@5,0.28716875871687586,0.001650510427089982,3
nDCG@10,0.29488661276858447,0.0025473496862079307,3
recall@5,0.15328630759803646,0.0018346769511416595,3
WHR@10,0.2902392586642455,0.0022034250259129855,3
HR@5,0.3245914243822194,0.002014758274976584,3
precision@10,0.21850659800450598,0.0012373945723907717,3
WHR@5,0.34022087861,0.002752868176418685,3
recall@10,0.21168365346307394,0.0021511667481701564,3
