user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
19227,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
28452,15,0.4,0.5333333333333333,0.5087403079104241,0.13333333333333333,0.4,0.4,0.4181818181818182,0.4671223597454319,0.26666666666666666,0.4
18727,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9492,11,0.8,0.8666666666666666,0.8539316501572936,0.36363636363636365,0.8,0.4,0.6000000000000001,0.5541432109622958,0.36363636363636365,0.4
10404,5,0.4,0.6,0.5531464700081437,0.4,0.4,0.4,0.475,0.5531464700081437,0.4,0.2
152,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9560,42,0.2,0.3333333333333333,0.33916020527361607,0.023809523809523808,0.2,0.2,0.23636363636363636,0.2895229882348574,0.047619047619047616,0.2
20570,8,0.4,0.6,0.5531464700081437,0.25,0.4,0.25,0.36538461538461536,0.4125317798925535,0.25,0.2
9158,8,0.2,0.13333333333333333,0.14606834984270645,0.125,0.2,0.125,0.1346153846153846,0.1089364926177559,0.125,0.1
4760,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24470,10,0.2,0.13333333333333333,0.14606834984270645,0.1,0.2,0.1,0.12727272727272726,0.09478836436955078,0.1,0.1
29744,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18085,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30522,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8706,13,0.4,0.4666666666666666,0.48522855511632257,0.15384615384615385,0.4,0.3,0.36363636363636365,0.3843113526044082,0.23076923076923078,0.3
4290,52,0.2,0.3333333333333333,0.33916020527361607,0.019230769230769232,0.2,0.1,0.18181818181818182,0.22009176629808014,0.019230769230769232,0.1
16582,44,0.8,0.7333333333333334,0.7860137352654724,0.09090909090909091,0.8,0.6,0.6545454545454545,0.6470538417566039,0.13636363636363635,0.6
11803,14,0.4,0.39999999999999997,0.4703652827859578,0.14285714285714285,0.4,0.2,0.29090909090909095,0.3052348839397011,0.14285714285714285,0.2
17511,47,1.0,1.0,1.0,0.10638297872340426,1.0,0.9,0.9090909090909091,0.9216017310213247,0.19148936170212766,0.9
23618,19,0.4,0.4000000000000001,0.3600546145772339,0.10526315789473684,0.4,0.2,0.29090909090909095,0.23365080824310527,0.10526315789473684,0.2
22939,31,0.6,0.6666666666666666,0.6843515475204854,0.0967741935483871,0.6,0.4,0.5454545454545454,0.522495596791931,0.12903225806451613,0.4
19223,7,0.2,0.26666666666666666,0.2139862647345275,0.14285714285714285,0.2,0.14285714285714285,0.18367346938775508,0.17342765698823942,0.14285714285714285,0.1
23287,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20955,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20564,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3864,21,0.4,0.3333333333333333,0.31564845247951445,0.09523809523809523,0.4,0.4,0.41818181818181815,0.3526637384340434,0.19047619047619047,0.4
9573,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22422,7,0.6,0.6666666666666666,0.6548086577531306,0.42857142857142855,0.6,0.42857142857142855,0.5102040816326531,0.5306972923267992,0.42857142857142855,0.3
