metric,value,std_error,count
nDCG@5,0.3293153022160322,0.0017900612494024595,3
recall@10,0.20146707607530703,0.0006177938971164744,3
WHR@5,0.33248700227146427,0.0017273549554898367,3
WHR@10,0.28269454618757917,0.001271776930662814,3
HR@10,0.28985894198617373,0.0016213250076102849,3
recall@5,0.14486921220228324,0.0003957712569472716,3
precision@5,0.28027451611173665,0.0021572468392370672,3
precision@10,0.21357031794541848,0.0019131675890002255,3
HR@5,0.3139509945847408,0.0015311746385830805,3
nDCG@10,0.28777832896354727,0.0014707703171927755,3
