metric,value,std_error,count
HR@5,0.19258573829703537,0.0018736488582300898,3
precision@5,0.16909129921682223,0.0015152600452478322,3
WHR@5,0.21519763360767544,0.0015177002545624253,3
nDCG@10,0.18063410161532786,0.0010094406580688016,3
precision@10,0.12164467331831348,0.0016557758094985523,3
HR@10,0.16927602461075264,0.003188519759160373,3
nDCG@5,0.21289884093241115,0.001452231780375917,3
recall@5,0.09066697340915923,0.001115076397230036,3
WHR@10,0.17432186567366015,0.0008251039278102777,3
recall@10,0.1195948397052069,0.002820901570734583,3
