metric,value,std_error,count
WHR@5,0.338143005297817,0.002364850707223406,3
WHR@10,0.2887920763171626,0.001688589648051227,3
recall@5,0.15328899544299804,0.0014870930916647662,3
HR@5,0.3239262597003183,0.001903481771869395,3
recall@10,0.2124355505950232,0.0022730746048665166,3
precision@10,0.21883196417715248,0.001089461873078768,3
nDCG@10,0.2934669623645171,0.001993671033880033,3
precision@5,0.2860610449522583,0.0015779481564222409,3
nDCG@5,0.3346005059179056,0.002445009327532902,3
HR@10,0.30074309504225827,0.0022519336748126366,3
