metric,value,std_error,count
HR@10,0.30668971322019417,0.0016297659898477051,3
recall@10,0.21414459998718552,0.00040996932039671956,3
precision@5,0.2925741247118117,0.0027677504384586303,3
WHR@10,0.2960840640858154,0.0022938380908560023,3
precision@10,0.2243793898450485,0.002386816459698059,3
nDCG@5,0.3415780574212341,0.002568610848360817,3
recall@5,0.15579433323318967,0.0009115015884760864,3
nDCG@10,0.3004945365756786,0.0022083033273260443,3
WHR@5,0.34533707286642795,0.002667918326304236,3
HR@5,0.3305988955015817,0.001963169254051743,3
