user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
29315,2,0.5,0.5555555555555556,0.6131471927654584,0.5,0.2,0.5,0.5263157894736842,0.6131471927654584,0.5,0.1
25175,6,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.1111111111111111,0.10778915452451095,0.16666666666666666,0.1
12559,24,0.2,0.19999999999999998,0.16958010263680803,0.041666666666666664,0.2,0.1,0.14545454545454548,0.11004588314904007,0.041666666666666664,0.1
10821,5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.1
29590,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9794,14,0.2,0.19999999999999998,0.16958010263680803,0.07142857142857142,0.2,0.2,0.2,0.17947710508581735,0.14285714285714285,0.2
30499,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
1401,18,0.4,0.4000000000000001,0.3600546145772339,0.1111111111111111,0.4,0.4,0.4,0.3756698654207322,0.2222222222222222,0.4
5965,7,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.1020408163265306,0.0979129253499678,0.14285714285714285,0.1
1489,9,0.2,0.3333333333333333,0.33916020527361607,0.1111111111111111,0.2,0.1111111111111111,0.18518518518518517,0.23504554941448538,0.1111111111111111,0.1
24669,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13312,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30142,26,0.6,0.6,0.6399453854227659,0.11538461538461539,0.6,0.4,0.47272727272727266,0.48153499054313026,0.15384615384615385,0.4
955,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10213,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27691,24,0.0,0.0,0.0,0.0,0.0,0.2,0.1272727272727273,0.1427951440361373,0.08333333333333333,0.2
19974,13,0.0,0.0,0.0,0.0,0.0,0.1,0.07272727272727274,0.07336392209936006,0.07692307692307693,0.1
19680,9,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.07407407407407407,0.07834851647149513,0.1111111111111111,0.1
5257,18,0.8,0.9333333333333332,0.8687949224876582,0.2222222222222222,0.8,0.4,0.6181818181818183,0.5637884576902256,0.2222222222222222,0.4
14769,33,0.6,0.6,0.529634717214042,0.09090909090909091,0.6,0.3,0.43636363636363645,0.34369669139214537,0.09090909090909091,0.3
6437,21,0.4,0.4666666666666666,0.48522855511632257,0.09523809523809523,0.4,0.2,0.3090909090909091,0.31488013066763093,0.09523809523809523,0.2
