metric,value,std_error,count
recall@10,0.15069112498573248,0.001224247711865575,3
WHR@10,0.18379198227335033,0.0008098140747710674,3
nDCG@5,0.21034162281551028,0.0009923564600056657,3
precision@5,0.17723982628277304,0.0011294246804422555,3
WHR@5,0.21182242239022034,0.001065239531003571,3
recall@5,0.10259720924604299,0.0013979173258598001,3
precision@10,0.1440974482835509,0.0011856759992799311,3
HR@5,0.20595767876610727,0.00039232406415679527,3
HR@10,0.20756021422741708,0.0003961987386579608,3
nDCG@10,0.18913767048502472,0.000762368300312057,3
