user,total purchases,HR@5,WHR@5,nDCG@5,recall@5,precision@5,HR@10,WHR@10,nDCG@10,recall@10,precision@10
1044,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12672,27,0.2,0.06666666666666665,0.13120507751234176,0.037037037037037035,0.2,0.2,0.16363636363636364,0.15457433957839825,0.07407407407407407,0.2
27052,13,0.4,0.4666666666666666,0.48522855511632257,0.15384615384615385,0.4,0.2,0.3090909090909091,0.31488013066763093,0.15384615384615385,0.2
21894,14,0.2,0.13333333333333333,0.14606834984270645,0.07142857142857142,0.2,0.3,0.23636363636363636,0.23440650992329984,0.21428571428571427,0.3
1303,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16507,3,0.3333333333333333,0.4166666666666667,0.46927872602275644,0.3333333333333333,0.2,0.3333333333333333,0.37037037037037035,0.46927872602275644,0.3333333333333333,0.1
19726,14,0.2,0.3333333333333333,0.33916020527361607,0.07142857142857142,0.2,0.2,0.2,0.2837125544970318,0.14285714285714285,0.2
26372,11,0.2,0.06666666666666665,0.13120507751234176,0.09090909090909091,0.2,0.2,0.2,0.1635413866202963,0.18181818181818182,0.2
3718,10,0.4,0.4666666666666666,0.48522855511632257,0.2,0.4,0.2,0.3090909090909091,0.31488013066763093,0.2,0.2
28677,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28058,8,0.0,0.0,0.0,0.0,0.0,0.25,0.17307692307692307,0.17441424290825341,0.25,0.2
15991,16,0.2,0.3333333333333333,0.33916020527361607,0.0625,0.2,0.1,0.18181818181818182,0.22009176629808014,0.0625,0.1
1616,34,1.0,1.0,1.0,0.14705882352941177,1.0,0.7,0.8363636363636363,0.7909506325094736,0.20588235294117646,0.7
2503,11,0.0,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.07839826897867533,0.09090909090909091,0.1
19447,20,0.0,0.0,0.0,0.0,0.0,0.1,0.09090909090909091,0.07839826897867533,0.05,0.1
14829,3,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.1
7086,7,0.2,0.3333333333333333,0.33916020527361607,0.14285714285714285,0.2,0.14285714285714285,0.2040816326530612,0.27487633291429087,0.14285714285714285,0.1
28414,4,0.25,0.35714285714285715,0.39038004999210163,0.25,0.2,0.25,0.2941176470588235,0.39038004999210163,0.25,0.1
1100,7,0.2,0.19999999999999998,0.16958010263680803,0.14285714285714285,0.2,0.14285714285714285,0.16326530612244897,0.13743816645714543,0.14285714285714285,0.1
22212,34,0.4,0.3333333333333333,0.34519134224686926,0.058823529411764705,0.4,0.2,0.2727272727272727,0.22400556151517548,0.058823529411764705,0.2
16477,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13075,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6360,42,0.6,0.7999999999999999,0.7227265726449518,0.07142857142857142,0.6,0.3,0.49090909090909096,0.46900009332067477,0.07142857142857142,0.3
27459,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16880,13,0.8,0.8000000000000002,0.8304198973631919,0.3076923076923077,0.8,0.4,0.5818181818181818,0.5388856921828065,0.3076923076923077,0.4
4422,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,43,0.2,0.3333333333333333,0.33916020527361607,0.023255813953488372,0.2,0.3,0.3090909090909091,0.36288691033421744,0.06976744186046512,0.3
30606,7,0.2,0.3333333333333333,0.33916020527361607,0.14285714285714285,0.2,0.2857142857142857,0.3061224489795918,0.3727892582642587,0.2857142857142857,0.2
2063,2,0.5,0.5555555555555556,0.6131471927654584,0.5,0.2,0.5,0.5263157894736842,0.6131471927654584,0.5,0.1
20080,24,0.2,0.19999999999999998,0.16958010263680803,0.041666666666666664,0.2,0.3,0.2545454545454546,0.24966402870278911,0.125,0.3
5746,4,0.25,0.35714285714285715,0.39038004999210163,0.25,0.2,0.25,0.2941176470588235,0.39038004999210163,0.25,0.1
18577,16,0.2,0.3333333333333333,0.33916020527361607,0.0625,0.2,0.2,0.2,0.2837125544970318,0.125,0.2
2854,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10652,33,0.6,0.5333333333333333,0.6164336326286642,0.09090909090909091,0.6,0.5,0.4727272727272727,0.5298982599625927,0.15151515151515152,0.5
20262,23,0.2,0.3333333333333333,0.33916020527361607,0.043478260869565216,0.2,0.2,0.21818181818181817,0.28634598975246917,0.08695652173913043,0.2
27575,6,0.2,0.19999999999999998,0.16958010263680803,0.16666666666666666,0.2,0.16666666666666666,0.17777777777777778,0.15130120674940672,0.16666666666666666,0.1
17285,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17007,36,0.4,0.39999999999999997,0.4703652827859578,0.05555555555555555,0.4,0.2,0.29090909090909095,0.3052348839397011,0.05555555555555555,0.2
23500,32,0.4,0.19999999999999998,0.2772734273550482,0.0625,0.4,0.4,0.39999999999999997,0.3316936730892071,0.125,0.4
31045,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13374,29,0.8,0.9333333333333332,0.8687949224876582,0.13793103448275862,0.8,0.6,0.6909090909090909,0.6968404678259545,0.20689655172413793,0.6
16163,4,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.1
19885,8,0.2,0.19999999999999998,0.16958010263680803,0.125,0.2,0.25,0.21153846153846154,0.20626588994627676,0.25,0.2
3705,17,0.2,0.06666666666666665,0.13120507751234176,0.058823529411764705,0.2,0.1,0.10909090909090909,0.08514311764162097,0.058823529411764705,0.1
12527,5,0.2,0.3333333333333333,0.33916020527361607,0.2,0.2,0.2,0.25,0.33916020527361607,0.2,0.1
25969,3,0.3333333333333333,0.4166666666666667,0.46927872602275644,0.3333333333333333,0.2,0.3333333333333333,0.37037037037037035,0.46927872602275644,0.3333333333333333,0.1
20886,19,0.4,0.6,0.5531464700081437,0.10526315789473684,0.4,0.3,0.43636363636363634,0.43735247915031,0.15789473684210525,0.3
24898,7,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.1020408163265306,0.0979129253499678,0.2857142857142857,0.2
10089,18,0.4,0.5333333333333333,0.5087403079104241,0.1111111111111111,0.4,0.2,0.32727272727272727,0.3301376494471202,0.1111111111111111,0.2
22554,11,0.2,0.3333333333333333,0.33916020527361607,0.09090909090909091,0.2,0.1,0.18181818181818182,0.22009176629808014,0.09090909090909091,0.1
27436,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
12008,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21493,28,0.2,0.3333333333333333,0.33916020527361607,0.03571428571428571,0.2,0.2,0.2727272727272727,0.2984900352767555,0.07142857142857142,0.2
13986,18,0.2,0.3333333333333333,0.33916020527361607,0.05555555555555555,0.2,0.2,0.21818181818181817,0.28634598975246917,0.1111111111111111,0.2
11077,4,0.25,0.0,0.0,0.25,0.2,0.25,0.0,0.0,0.25,0.1
13902,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25462,14,0.2,0.26666666666666666,0.2139862647345275,0.07142857142857142,0.2,0.2,0.2545454545454545,0.21726071285222984,0.14285714285714285,0.2
24373,10,0.4,0.4666666666666666,0.48522855511632257,0.2,0.4,0.2,0.3090909090909091,0.31488013066763093,0.2,0.2
20403,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26944,36,0.2,0.06666666666666665,0.13120507751234176,0.027777777777777776,0.2,0.3,0.2727272727272727,0.23690530871965637,0.08333333333333333,0.3
459,1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1
