metric,value,std_error,count
nDCG@10,0.2202219742486123,0.0034765016171678636,3
recall@5,0.11593948368663613,0.0016422696676127847,3
precision@5,0.20546078746915566,0.003181979538458115,3
recall@10,0.15479647144656705,0.001128163300473309,3
precision@10,0.14944748417551768,0.0020156879838162446,3
HR@5,0.23657332904194828,0.0034630489504479064,3
nDCG@5,0.2581366561572473,0.004553020493388344,3
WHR@10,0.21153406368128944,0.0032362890799573223,3
WHR@5,0.2600680661350117,0.0050272875252491776,3
HR@10,0.21321965846024424,0.0018704159205399787,3
