metric,value,std_error,count
recall@10,0.2149580403444512,0.00091206131822322,3
HR@10,0.30600799335143813,0.0008366319340160556,3
precision@10,0.2219809261174308,0.0011504835866471058,3
nDCG@5,0.35357119416880495,0.0010203119049487079,3
precision@5,0.2943276264889502,0.0011715088785980235,3
nDCG@10,0.3093803260180204,0.0006393415433695822,3
WHR@10,0.3026913843396995,0.0007976925121260873,3
HR@5,0.334543643954192,0.001160510407358431,3
WHR@5,0.3571143441992574,0.0012806533525471485,3
recall@5,0.15960056996040883,0.0011771046009775386,3
