metric,value,std_error,count
WHR@10,0.2948486872476901,0.001306542638422524,3
HR@5,0.32790383721346067,0.002090473776793803,3
recall@10,0.20967066715345295,0.001842813504145105,3
precision@5,0.2899367020705933,0.0016962170999980262,3
nDCG@10,0.30107176147018677,0.0014508357349599886,3
precision@10,0.2175571290634052,0.0008386748774248783,3
recall@5,0.15468395631695267,0.001307356812670539,3
WHR@5,0.34945267811376596,0.0016605359798156866,3
HR@10,0.2979321314049348,0.001922076666718574,3
nDCG@5,0.3460149961710697,0.0018872950311428819,3
